Pred/Actual,1.0,2.0,3.0,OA_Resubs,OA_Holdout
1.0,185.0,0.0,51.0,,
2.0,1.0,317.0,31.0,,
3.0,52.0,30.0,369.0,,
Accuracies,,,,0.9109730848861284,0.8407335907335908
