Pred/Actual,1.0,2.0,3.0,OA_Resubs,OA_Holdout
1.0,165.0,12.0,94.0,,
2.0,9.0,237.0,104.0,,
3.0,46.0,108.0,261.0,,
Accuracies,,,,0.8757763975155279,0.63996138996139
