Pred/Actual,1.0,2.0,3.0,OA_Resubs,OA_Holdout
1.0,179.0,11.0,75.0,,
2.0,14.0,228.0,116.0,,
3.0,44.0,86.0,283.0,,
Accuracies,,,,0.8803312629399586,0.666023166023166
