Pred/Actual,1.0,2.0,3.0,OA_Resubs,OA_Holdout
1.0,194.0,0.0,40.0,,
2.0,1.0,294.0,38.0,,
3.0,39.0,26.0,404.0,,
Accuracies,,,,0.949896480331263,0.861003861003861
