Pred/Actual,1.0,2.0,3.0,OA_Resubs,OA_Holdout
1.0,177.0,3.0,53.0,,
2.0,6.0,255.0,61.0,,
3.0,53.0,74.0,354.0,,
Accuracies,,,,0.9337474120082816,0.7586872586872587
